word length 3
top 50 O/E
word,O/E,obs,E
UZZ,171.94883270130757,6,0.034894101377370812
ZZL,124.88191898792992,6,0.048045385982416811
ZZY,90.113020453038786,2,0.022194350937801199
ZZB,57.542360238570566,1,0.017378501609145003
IZZ,50.989176933500708,4,0.078448020551826869
KQQ,47.311506894492503,1,0.02113650707068071
KXZ,45.002810587480276,1,0.022220834364469644
ZZP,44.956337233551665,1,0.022243805023637098
YQQ,41.754001095533056,2,0.047899601176519702
ZMJ,27.774794140324243,1,0.036003867209520424
QQU,26.591911094013486,2,0.075210841106123083
XQU,25.888121464395965,3,0.1158832634544732
ZZI,25.494588466750354,2,0.078448020551826869
DZZ,22.935116584587362,1,0.043601260813821652
ZZA,22.384605567435841,2,0.089347118222601773
AZZ,22.384605567435841,2,0.089347118222601773
PQQ,20.83069009477309,1,0.048006090794415091
JJU,20.498750455487745,1,0.048783461322262633
XXV,17.874010352801385,1,0.055947153451394893
DJJ,16.410158945061458,1,0.060937861927348624
ZZE,14.450065896435284,2,0.13840767331679671
QXY,13.531922432666109,1,0.073899329897575861
BYJ,11.430016100786032,5,0.43744470313179651
OZZ,11.308053204248026,1,0.088432551734399012
ZZO,11.308053204248026,1,0.088432551734399012
ZAZ,11.192302783717921,1,0.089347118222601773
JUX,10.70591994901789,1,0.093406265389807563
XJU,10.70591994901789,1,0.093406265389807563
RJJ,10.462051142468107,1,0.09558355110125083
KQU,10.426738529523414,5,0.47953633687489627
UBJ,10.395258178484816,7,0.67338394870153195
QXM,9.8809822932763396,1,0.10120451290358701
QXC,8.7842987255683749,1,0.11383948010434908
YXX,8.7819693043342788,1,0.11386967607669241
JXD,8.5789825345651849,1,0.1165639393682113
YJU,8.2736427921378457,7,0.8460602150544686
JJA,8.020996671090721,1,0.12467278581528407
KYJ,7.9905551892869155,2,0.25029549920153693
KJU,7.7120072878180776,3,0.3890037817701254
EZZ,7.2250329482176419,1,0.13840767331679671
PUZ,6.8946841082429611,5,0.72519638630321503
GQU,6.7812285331904754,7,1.032261332255469
EXQ,6.6663288815097648,3,0.45002280165339992
QXL,6.2841829900981425,1,0.1591296755004874
SQQ,6.1660440130851271,1,0.16217853746711397
FQU,5.9081829589826027,7,1.1847974324081205
YQU,5.8116848957727383,6,1.0324028414486541
XZI,5.654284842679802,1,0.17685702574652362
BYZ,5.3766224687834256,2,0.37198073913724916
