top 50
word,O/E,obs,E
DPIZZAMOZZ,30004174422218.95,1,3.332869573173363e-14
PIZZAPIZZA,19902804137204.92,1,5.024417630331142e-14
PIZZAMOZZA,14557377285157.654,1,6.869369258015835e-14
YJACKJACKW,8571363392260.8545,1,1.1666755383430682e-13
ZZAPIZZATH,7954574322441.848,1,1.2571382948535026e-13
IZZAPIZZAT,5433008799343.813,1,1.8406007369632417e-13
CKQQUEIJOD,5067508968537.143,1,1.9733561523200892e-13
ZZAMOZZARI,4898990476098.567,1,2.0412368729411675e-13
IZZAMOZZAR,4898990476098.566,1,2.0412368729411677e-13
LACKQQUEIJ,3892027867920.575,1,2.5693546755981425e-13
ACKQQUEIJO,2458645884163.5957,1,4.0672794990165447e-13
KQQUEIJODA,2062436638518.9263,1,4.848633801997032e-13
PIZZAPIZZ,1705860073034.549,1,5.862145528859839e-13
JACKJACKWA,1644299850931.7205,1,6.081615828362226e-13
PIZZAMOZZ,1247706027133.6199,1,8.014708418915954e-13
EYJACKJACK,1124015701543.6975,1,8.896672872332858e-13
THPIZZAPIZ,799318671297.5403,1,1.2510654835282306e-12
NDPIZZAMOZ,791340282110.0671,1,1.2636788782362408e-12
ZZASBLINTZ,656163716725.2675,2,3.048019799054799e-12
DFUZZYMOLD,598755244482.1705,1,1.6701315090189204e-12
KSQUIZCOMP,549122679090.6411,1,1.8210866862319753e-12
YPULQUEOFX,488771175497.51794,1,2.045947163275544e-12
KBUBBLUMSQ,481622828115.3141,1,2.0763135416840577e-12
IZZAPIZZA,432364519966.42993,1,2.312863229567595e-12
ZZAPIZZAT,373803480537.51843,1,2.6752024849047135e-12
HEBLACKQQU,346412814558.04596,1,2.8867292374151967e-12
YFIVESIZZL,337092255675.1997,2,5.933093882545527e-12
ZZAMOZZAR,337061793698.36,1,2.9668150431042626e-12
QQUEIJODAS,322540051330.05084,1,3.1003901558157614e-12
IZZAMOZZA,316241540562.7019,1,3.162139920709524e-12
FUZZYMOLDT,312874581720.62805,1,3.1961688754023485e-12
JULYMANOQU,303198380191.4283,1,3.2981706543703727e-12
CKAVALJYUG,302880682185.82263,1,3.3016301758937614e-12
ZZLINGRABB,271319035656.19357,2,7.371395800382887e-12
WICHBAGOZZ,240997347668.30594,1,4.1494232599453296e-12
BLACKQQUEI,236601456395.9188,1,4.226516671675269e-12
CKQQUEIJO,210729393637.81595,1,4.745422471621194e-12
FLUFFYMIXW,199469579166.7821,1,5.0132957826309544e-12
CHBAGOZZOG,198870850296.82397,1,5.028389019846064e-12
BRUZZIAPUL,198031618051.3191,1,5.04969867862643e-12
EDFUZZYMOL,193508821383.94852,1,5.167723067342033e-12
BUBBLUMSQU,190213115604.81158,1,5.257261029663216e-12
XTYFIVESIZ,190202227870.60132,2,1.0515123941453742e-11
REYJACKJAC,190097593720.3572,1,5.260455855485728e-12
TYFIVESIZZ,187193756779.50214,2,1.0684117004798537e-11
MILKYPULQU,184669445297.51553,1,5.4150809755719434e-12
KACKAVALJY,179937859184.72192,1,5.557474144301187e-12
ZZLINGBROW,178643605070.64514,1,5.597737459477192e-12
KQQUEIJOD,176770483724.7679,1,5.657053026776814e-12
TERBYJOVEJ,174973729231.17664,1,5.715143664102811e-12
bottom 50
word,O/E,obs,E
AER,0.012977796723413359,3,231.1640460963357
RHT,0.01275710015556643,1,78.38772039142926
TRH,0.01275710015556643,1,78.38772039142926
EMR,0.012693201919146621,1,78.7823282391486
LAE,0.012637751317977577,2,158.25600216985916
SAE,0.012000511607529001,3,249.98934196420674
TIH,0.011969096117489276,1,83.54849774652551
AOL,0.011622158122389972,1,86.04253955842418
ELH,0.011525042824911003,1,86.76757346519639
NRR,0.01112358254364386,1,89.89909465556231
AHS,0.010952954004722223,1,91.29957083439436
HAO,0.01092980988638155,1,91.49289972975572
EHH,0.010838479883181918,1,92.26386087145866
NNR,0.010807518943975105,1,92.52817461471788
OER,0.010600019387489496,2,188.6789001877174
SRR,0.010586737682926268,1,94.45780465617347
AAT,0.010535676066620028,2,189.83119710149023
NNN,0.010500435922159183,1,95.23414145975495
IIE,0.010112191848510753,2,197.7810577530276
AEU,0.010102034949475171,1,98.98995647920944
OEC,0.009807848785255025,1,101.9591575986964
OOE,0.009781079696300727,2,204.47640363838505
AEM,0.009559922583709978,1,104.60335753178494
MAE,0.009559922583709978,1,104.60335753178494
OIO,0.009146038467193515,1,109.33695540281852
AAH,0.008921043490318113,1,112.09451014169883
NNT,0.008766549459566666,1,114.06996613801462
IAE,0.008117440195737803,2,246.38309020744416
AEC,0.008005285221725889,1,124.91747293226442
EOA,0.007983435966410383,2,250.51870002024532
LOE,0.007741707539413497,1,129.1704698103022
AII,0.007590411548680029,1,131.74516211494483
OAI,0.0074651076073719205,1,133.95654190067978
AOO,0.007341872207091744,1,136.2050403211961
OAO,0.007341872207091744,1,136.2050403211961
EHS,0.007295939850779641,1,137.06253347101546
EOH,0.007280523179145663,1,137.35276646936595
EUE,0.006729128902583554,1,148.60764513161044
AEA,0.00651617733509318,2,306.9284178668536
EAE,0.006510796704709495,3,460.77310290305815
AEL,0.0063188756589887905,1,158.25600216985913
AIA,0.0060931114372124815,1,164.11976217810434
OAA,0.0059925252077286505,1,166.87455877703857
EIO,0.0049726289418819064,1,201.1008687130287
AEN,0.004203015931514282,1,237.9243896036614
NAE,0.004203015931514282,1,237.9243896036614
AIE,0.004058720097868901,1,246.38309020744413
OAE,0.0039917179832051905,1,250.51870002024538
AET,0.0035089921329085226,1,284.98211512692194
TAE,0.0035089921329085226,1,284.98211512692194
