word length 3
top 50 O/E
word,O/E,obs,E
IZZ,306.11985969668933,21,0.06860058024594447
OZZ,301.0663754835242,21,0.06975206037629805
ZZL,226.94620160888462,10,0.044063306321530056
XQU,226.5257070467595,5,0.022072550021741678
MIX,159.9351369432829,180,1.1254562533299521
KQQ,138.74621061671857,1,0.007207404047685771
QUA,138.5639623716012,152,1.0969663208126654
QUE,129.9482574973488,214,1.6468093079614092
VQU,124.46091677738934,13,0.10445045992431332
QQU,109.59343062305423,2,0.018249269035832856
UZZ,108.84618960853923,3,0.027561828400143124
OQU,107.21977470359029,96,0.8953572255247931
YQQ,92.12498906841496,1,0.01085481811300263
JJU,91.65379564165255,1,0.0109106228825459
QUI,90.84957410764802,80,0.8805765000638053
IQU,86.30709540226562,76,0.8805765000638053
JUS,72.37528418852925,50,0.6908435740266772
SQU,66.03502171188401,59,0.8934652926657863
BYJ,65.57116357988205,7,0.10675424405840002
ZZY,60.9979020994099,1,0.016394006442553934
DJJ,60.92605122413339,1,0.016413340105059862
ZZI,58.30854470413132,4,0.06860058024594445
ZMJ,54.57160462320052,1,0.018324548213391932
XTU,54.386857770964944,67,1.231915259420792
ING,51.38995620855698,1534,29.850190838352425
YJU,49.16584954442648,8,0.16271456863104064
EXQ,48.665535684921686,5,0.10274211368743194
PIQ,47.686367038698265,33,0.6920216835394477
EQU,46.14984845700238,76,1.6468093079614092
JUI,45.52946707985587,31,0.6808777257512793
ILK,44.16066003140423,476,10.778824403020684
ZZO,43.009482211932045,3,0.06975206037629803
BUT,41.91461366371155,543,12.95490886201615
OJU,41.8889640056188,29,0.6923064508377449
AND,40.84863373481989,3141,76.8936366486738
BOX,40.816513853724715,29,0.7104967392347155
ROQ,39.69653459220516,83,2.0908626118789204
RJJ,39.24834071272712,1,0.025478784117763442
WIT,38.267317107130985,1148,29.999490081474097
JAC,36.436547631587274,39,1.070353876397182
CUP,34.84291636639803,237,6.80195645817292
JUL,34.29831934464629,15,0.43733921330875325
DJU,34.01976033147912,14,0.4115255329134561
EXP,30.664668700360068,48,1.5653193735445894
XPO,30.550432145122873,26,0.8510517912313946
CHE,30.238458458294897,2071,68.48894108991496
XBY,29.941934389793087,5,0.16698987897403353
JJA,29.560003940910253,1,0.03382949481329489
ICK,29.03103750915502,247,8.508135471290265
DQU,28.183602742987176,15,0.5322243623992463
bottom 50 O/E
word,O/E,obs,E
AER,0.012977796723413359,3,231.1640460963357
RHT,0.01275710015556643,1,78.38772039142926
TRH,0.01275710015556643,1,78.38772039142926
EMR,0.012693201919146621,1,78.7823282391486
LAE,0.012637751317977577,2,158.25600216985916
SAE,0.012000511607529001,3,249.98934196420674
TIH,0.011969096117489276,1,83.54849774652551
AOL,0.011622158122389972,1,86.04253955842418
ELH,0.011525042824911003,1,86.76757346519639
NRR,0.01112358254364386,1,89.89909465556231
AHS,0.010952954004722223,1,91.29957083439436
HAO,0.01092980988638155,1,91.49289972975572
EHH,0.010838479883181918,1,92.26386087145866
NNR,0.010807518943975105,1,92.52817461471788
OER,0.010600019387489496,2,188.6789001877174
SRR,0.010586737682926268,1,94.45780465617347
AAT,0.010535676066620028,2,189.83119710149023
NNN,0.010500435922159183,1,95.23414145975495
IIE,0.010112191848510753,2,197.7810577530276
AEU,0.010102034949475171,1,98.98995647920944
OEC,0.009807848785255025,1,101.9591575986964
OOE,0.009781079696300727,2,204.47640363838505
AEM,0.009559922583709978,1,104.60335753178494
MAE,0.009559922583709978,1,104.60335753178494
OIO,0.009146038467193515,1,109.33695540281852
AAH,0.008921043490318113,1,112.09451014169883
NNT,0.008766549459566666,1,114.06996613801462
IAE,0.008117440195737803,2,246.38309020744416
AEC,0.008005285221725889,1,124.91747293226442
EOA,0.007983435966410383,2,250.51870002024532
LOE,0.007741707539413497,1,129.1704698103022
AII,0.007590411548680029,1,131.74516211494483
OAI,0.0074651076073719205,1,133.95654190067978
AOO,0.007341872207091744,1,136.2050403211961
OAO,0.007341872207091744,1,136.2050403211961
EHS,0.007295939850779641,1,137.06253347101546
EOH,0.007280523179145663,1,137.35276646936595
EUE,0.006729128902583554,1,148.60764513161044
AEA,0.00651617733509318,2,306.9284178668536
EAE,0.006510796704709495,3,460.77310290305815
AEL,0.0063188756589887905,1,158.25600216985913
AIA,0.0060931114372124815,1,164.11976217810434
OAA,0.0059925252077286505,1,166.87455877703857
EIO,0.0049726289418819064,1,201.1008687130287
AEN,0.004203015931514282,1,237.9243896036614
NAE,0.004203015931514282,1,237.9243896036614
AIE,0.004058720097868901,1,246.38309020744413
OAE,0.0039917179832051905,1,250.51870002024538
AET,0.0035089921329085226,1,284.98211512692194
TAE,0.0035089921329085226,1,284.98211512692194

word length 4
top 50 O/E
word,O/E,obs,E
PIZZ,8052.257928998288,12,0.0014902652281895815
KQQU,5019.240005488906,1,0.0001992333498510585
CKQQ,3977.460783020079,1,0.0002514166837971189
YQQU,3332.6851132156166,1,0.0003000583511579128
XQUI,3292.414928354473,5,0.0015186421240347633
IZZL,2968.6739075515984,9,0.003031656652186064
ZZAR,2900.3717669032226,16,0.005516534184541273
OZZA,2843.5622862272007,17,0.0059784166087514705
JACK,2652.8808465111515,31,0.011685409859537652
ZZLI,2308.968594762354,7,0.003031656652186065
UZZY,2206.641241640959,1,0.00045317742690984713
QUEF,2109.946240101942,82,0.03886354943149555
ZZYM,2088.2247532914334,1,0.00047887565666665554
IZZA,2040.9121997468262,12,0.005879723783065529
SIZZ,1879.321976943949,9,0.004788961184094335
EXQU,1760.509368238369,5,0.0028400871305803875
PIQU,1725.0872661182493,33,0.019129467040966467
FUZZ,1537.4210608274932,1,0.000650439899308889
MILK,1502.284148292677,473,0.31485388469122655
