word length 3
top 50 Observation
word,O/E,obs,E
JUS,3.2989350589692359,8,2.4250250026139129
NJU,3.2773023853202088,8,2.441032001146382
XCL,2.8848411481716538,8,2.7731162962197127
SQU,2.8086116164047659,8,2.8483824368143154
QUI,2.7341136072066812,8,2.9259939963406398
TJU,2.675930572691644,8,2.9896141856748635
QUA,2.4977213244103478,8,3.2029193656696702
AQU,2.4977213244103478,8,3.2029193656696702
TQU,2.3123382533913381,8,3.4597014464760862
JEC,2.1858951491662633,8,3.6598278755736899
EJU,2.1618633235514517,8,3.7005114582626861
SIZ,2.1165245916448399,8,3.7797812657507865
ZED,2.0906827890397652,8,3.8265011038208905
IZA,1.9198421111555577,8,4.1670093355670694
INJ,1.9115082698654089,8,4.1851767664930311
QUE,1.9052864508796445,8,4.1988436942416243
EQU,1.9052864508796445,8,4.1988436942416243
BYP,1.7413329735130703,8,4.5941816537593709
CKF,1.7317370636364968,8,4.6196389555818005
AJO,1.6581298049792772,8,4.8247127432221637
IZE,1.5504811023514558,8,5.159688813921834
RKB,1.5180152486621383,8,5.2700392878468012
UCK,1.5156581079843297,8,5.2782352153541954
BYM,1.5138139410332834,8,5.2846652968061871
HEQ,1.4770685390187872,8,5.4161332319178497
YBU,1.4380091951970142,8,5.5632467627607634
KWH,1.4339618365516313,8,5.5789490320316144
REQ,1.4118589560992962,8,5.6662883820226009
KAB,1.378761539344783,8,5.8023086456282869
SEQ,1.3667698605609873,8,5.8532165735030333
ESQ,1.3667698605609873,8,5.8532165735030333
NEQ,1.3630933835993642,8,5.8690036179878726
BOV,1.3392974170490317,8,5.9732811384247748
DBY,1.3374579328577314,8,5.9814965416568207
YKI,1.3316068348457351,8,6.0077793164277278
GUP,1.3283030314855968,8,6.0227220825150596
GPU,1.3283030314855968,8,6.0227220825150596
YPU,1.3282450446467851,8,6.0229850148828588
UPP,1.3273919330915034,8,6.0268559726500328
KWI,1.3192375024962522,8,6.0641089908848516
UPW,1.3159999358339221,8,6.0790276520268707
IXT,1.3082815173920641,8,6.1148918590145991
NGV,1.3036865776091273,8,6.1364442477205348
UMB,1.302629126886151,8,6.1414257019751064
MBU,1.302629126886151,8,6.1414257019751064
LYB,1.3011722731905513,8,6.1483019311374711
BLY,1.3011722731905513,8,6.1483019311374711
GIV,1.2935013392932027,8,6.184763600145458
FPU,1.2744216917192814,8,6.277357056915327
RKM,1.2688060656078217,8,6.3051400973304768
bottom 50 Observation
word,O/E,obs,E
EOY,0.12504529729442793,1,7.997102023320636
UOO,0.12504495017155018,1,7.9971242231540884
SLS,0.12504382244180068,1,7.9971963466282503
TUI,0.12504300426774376,1,7.9972486734146813
AEG,0.12504240938464395,1,7.9972867199310924
NLS,0.12504143942872523,1,7.997348755490048
NNL,0.12503916768922663,1,7.9974940531066894
NLN,0.12503916768922663,1,7.9974940531066894
AEW,0.12503419127240445,1,7.9978123569525108
EUH,0.12502851113380656,1,7.9981757035384637
MTT,0.12502009079278012,1,7.9987143958925175
RHS,0.12501788585139778,1,7.9988554692777942
HNR,0.12501678705552566,1,7.9989257727112628
LRT,0.1250117220408665,1,7.9992498597299431
SDT,0.12501154834729938,1,7.9992609740490668
HSN,0.12500778167576734,1,7.9995020037528519
HNN,0.12500725303782337,1,7.9995358325122989
NNH,0.12500725303782337,1,7.9995358325122989
NRR,0.12500625674712756,1,7.9995995882260384
TLS,0.1250052413286408,1,7.99966456903182
OHR,0.12500511414183249,1,7.9996727083132502
TNL,0.12500486917745024,1,7.9996883847816624
EUI,0.12500365218918072,1,7.9997662667215392
EHL,0.12500215871878223,1,7.999861844383851
RHT,0.12500161005802063,1,7.9998969576139141
TRH,0.12500161005802063,1,7.9998969576139141
IIR,0.125001393385552,1,7.9999108243187207
AIH,0.12500132516050452,1,7.9999151906267985
OEU,0.12500117824903134,1,7.999924592772782
UOE,0.12500117824903134,1,7.999924592772782
AUE,0.12500106242615799,1,7.9999320053038039
UAE,0.12500106242615799,1,7.9999320053038039
SNN,0.12500092620588149,1,7.9999407232628048
TDT,0.12500090495739632,1,7.9999420831459336
AOH,0.12500037732459229,1,7.9999758512989878
AAH,0.1250003363671614,1,7.9999784725595999
EHH,0.12500019502619347,1,7.9999875183430911
TRN,0.12500012871434238,1,7.9999917622905707
NRT,0.12500012871434238,1,7.9999917622905707
EHR,0.12500004092065714,1,7.9999973810788001
TNS,0.125000036575317,1,7.999997659180397
TNN,0.12500003259691414,1,7.9999979137980395
AOI,0.12500001387607304,1,7.999999111931424
EUE,0.1250000042219811,1,7.9999997297932195
AOO,0.12500000224753458,1,7.999999856157789
OAO,0.12500000224753458,1,7.999999856157789
OAA,0.12500000190261501,1,7.9999998782326411
OEH,0.12500000086299035,1,7.9999999447686179
IOE,0.12500000000537573,1,7.9999999996559543
OAE,0.12500000000025088,1,7.9999999999839444

word length 4
top 50 Observation
word,O/E,obs,E
JUST,29.321384432006283,8,0.27283841315717194
QUAR,29.291385548331476,8,0.27311784165347219
SQUA,26.587247834905025,8,0.30089613071937493
HEQU,21.545183362404916,8,0.3713126904252545
IZED,19.545331321543941,8,0.40930490603564029
REQU,19.080052350243886,8,0.4192860613350331
BACK,18.117473686651724,8,0.44156266697901159
QUES,17.342403604173114,8,0.46129707176662382
SQUE,17.342403604173114,8,0.46129707176662382
SEQU,17.342403604173114,8,0.46129707176662382
ESQU,17.342403604173114,8,0.46129707176662382
NEQU,17.199405603465422,8,0.4651323530848136
EQUI,16.725052976780962,8,0.47832434438959515
JECT,16.523815374821208,8,0.48414968447240725
EQUA,14.758488741855068,8,0.54206092100148462
CKFO,12.522288494329082,8,0.63886086026710909
UPPL,11.658774609116048,8,0.68617845941929134
SIZE,11.551534574026443,8,0.69254867816332843
EQUE,9.7430980334747304,8,0.8210940680791774
EEQU,9.7430980334747304,8,0.8210940680791774
MAYB,9.3443863652785755,8,0.85612898346391353
LLYP,8.6742490360068309,8,0.92227003937654761
DMAK,8.5111352078133784,8,0.93994511950131554
THEQ,7.9197286738698427,8,1.0101356156802446
ULDB,7.8546256829439445,8,1.0185081152080526
KING,7.6786304500262297,8,1.0418524569016956
YKIN,7.6775790264472361,8,1.0419951357637751
SUPP,7.6614433012573091,8,1.0441896762046299
NGUP,7.6182371002048326,8,1.0501117115119589
NGPU,7.6182371002048326,8,1.0501117115119589
BOOK,7.5024405727582986,8,1.0663196758996483
